Barcode,ImageLink,ProductName,Category,Brand,Price,Ingredients,SkinCondition,AdditionalProperties,RatingScore
8809640732829,https://cdn.myshoptet.com/usr/www.skinandcare.cz/user/shop/big/1731-3_anua-heartleaf-pore-control-cleansing-oil-200ml.png?656f948f,Anua - Heartleaf Pore Control Cleansing Oil 200Ml,Cleansing,Anua,13.00,"Ethylhexyl Palmitate, Sorbeth-30 Tetraoleate, Sorbitan Sesquioleate, Caprylic/Capric Triglyceride, Butyl Avocadate, Fragrance, Helianthus Annuus (Sunflower) Seed Oil, Macadamia Ternifolia Seed Oil, Olea Europaea (Olive) Fruit Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Vitis Vinifera (Grape) Seed Oil, Caprylyl Glycol, Ethylhexylglycerin, Curcuma Longa (Turmeric) Root Extract, Melia Azadirachta Flower Extract, Tocopherol, Melia Azadirachta Leaf Extract, Houttuynia Cordata Extract, Corallina Officinalis Extract, Melia Azadirachta Bark Extract, Moringa Oleifera Seed Oil, Ocimum Sanctum Leaf Extract","Dry, Oily, Combination, Normal","Sensitive, Acne",0
8809640734427,http://theskincarelibrary.com/cdn/shop/files/AnuaHeartleafQuercetinolPoreDeepCleansingFoam.webp?v=1691646109,Anua - Heartleaf Quercetinol Pore Deep Cleansing Foam 150Ml (Renew),Cleansing,Anua,10.50,"Houttuynia Cordata Extract (33.4%), Quercetin(10,000 ppb), Houttuynia Cordata Extract, Glycerin, Sodium Cocoyl Glycinate, Water, Sodium Lauroyl Glutamate, Coco-Glucoside, Sodium Cocoamphoacetate, Sodium Chloride, 1,2-Hexanediol, Salicylic Acid, Butylene Glycol, Lecithin, Glyceryl Stearate SE, Hydroxypropyl Starch Phosphate, Potassium Benzoate, Polyquaternium-67, Houttuynia Cordata Powder, Quercetin, Oenothera Biennis (Evening Primrose) Flower Extract, Ulmus Davidiana Root Extract, Pinus Palustris Leaf Extract, Pueraria Lobata Root Extract, Capryloyl Salicylic Acid, Tocopherol, Sodium Hyaluronate, Hydroxypropyltrimonium Hyaluronate, Sodium Acetylated Hyaluronate, Hydrolyzed Hyaluronic Acid, Hyaluronic Acid, Sodium Hyaluronate Crosspolymer, Hydrolyzed Sodium Hyaluronate, Potassium Hyaluronate, Dextrin, Gardenia Florida Fruit Extract, Fragrance, Ethylhexylglycerin, Disodium EDTA","Dry, Oily, Combination, Normal","Sensitive, Acne",0
8809634610096,https://koreanmartbd.com/wp-content/uploads/2022/07/73-AXIS-Y-Sunday-Morning-Refreshing-Cleansing-Foam-120ml.jpg,Axis-Y - Sunday Morning Refreshing Cleansing Foam 120Ml,Cleansing,Axis-Y,10.00,"Water, Glycerin, Sodium Cocoyl Isethionate, Sodium Methyl Cocoyl Taurate, Potassium Cocoyl Glycinate, Coco-Betaine, Butylene Glycol, Potassium Cocoate, Sodium Chloride, Potassium Benzoate, Polyquaternium-67, Xylitylglucoside, Citric Acid, Anhydroxylitol, Propanediol, Xylitol, Betula Platyphylla Japonica Juice, Glucose, Camellia Sinensis Leaf Extract, Disodium EDTA, Glycyrrhiza Glabra (Licorice) Root Extract, Agrimonia Eupatoria Extract, 1,2-Hexanediol, Centella Asiatica Extract, Dipropylene Glycol, Allantoin, Perilla Frutescens Leaf Extract, Saponaria Officinalis Extract, Sodium Acetate, Pentylene Glycol, Calendula Officinalis Flower Extract, Kigelia Africana Fruit Extract, Caprylyl Glycol, Natto Gum, Sodium Hyaluronate, Chamomilla Recutita (Matricaria) Flower Extract, Ethylhexylglycerin, Hydroxycinnamic Acid, Rutin",,,0
8809759907545,https://cdn.myshoptet.com/usr/www.kocosbeauty.cz/user/shop/big/1456-1_banila-co-clean-it-zero-cleansing-balm-original-cistici-pletovy-balzam.png?64a6d537,Banila Co - Clean It Zero Cleansing Balm Original 100Ml (2024),Cleansing,Banila Co,13.00,"Ethylhexyl Palmitate, Cetyl Ethylhexanoate, PEG-20 Glyceryl Triisostearate, PEG-10 Isostearate, Synthetic Wax, Onsen-Sui, Phenoxyethanol, Butylene Glycol, Lithospermum Erythrorhizon Root Extract, Tocopheryl Acetate, Fragrance, Ethylhexylglycerin, Water, 1,2-Hexanediol, Bambusa Vulgaris Leaf/Stem Extract Aspalathus Linearis Extract, Angelica Archangelica Root Extract, Malpighia Glabra (Acerola) Fruit Extract, Polydiethyleneglycol Adipate/IPDI Copolymer, Acrylates/Ammonium Methacrylate Copolymer, Acrylates/Methoxy PEG-15 Methacrylate Copolymer","Normal, Combination",,5
8809968130130,https://cosibella.cz/data/gfx/pictures/medium/5/9/13695_1.webp,Beauty of Joseon - Ginseng Cleansing Oil 210Ml,Cleansing,Beauty of Joseon,13.00,,,,0
8809416470511,https://www.kiko-style.cz/fotky28771/fotos/_vyr_10_7YG066CM7KCA.jpg,Cosrx - Low Ph Good Morning Gel Cleanser 150Ml,Cleansing,Cosrx,9.00,"Water, Cocamidopropyl Betaine, Sodium Lauroyl Methyl Isethionate, Sodium Chloride, Polysorbate 20, Styrax Japonicus Branch/Fruit/Leaf Extract, Butylene Glycol, Saccharomyces Ferment, Cryptomeria Japonica Leaf Extract, Nelumbo Nucifera Leaf Extract, Pinus Palustris Leaf Extract, Ulmus Davidiana Root Extract, Oenothera Biennis (Evening Primrose) Flower Extract, Pueraria Lobata Root Extract, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Allantoin, Caprylyl Glycol, Ethylhexylglycerin, Betaine Salicylate, Citric Acid, Ethyl Hexanediol, 1,2-Hexanediol, Trisodium Ethylenediamine Disuccinate, Sodium Benzoate, Disodium EDTA","Dry, Oily, Combination, Normal","Dry, Sensitive, Dull, Uneven",0
8809416471112,https://cosibella.cz/cze_pl_COSRX-Salicylic-Acid-Daily-Gentle-Cleanser-Cistici-pena-s-kyselinou-salicylovou-150-ml-1311_6.webp,Cosrx - Salicylic Acid Daily Gentle Cleanser 150Ml,Cleansing,Cosrx,10.00,"Water, Glycerin, Myristic Acid, Stearic Acid, Potassium Hydroxide, Lauric Acid, Butylene Glycol, Glycol Distearate, Polysorbate 80, Sodium Methyl Cocoyl Taurate, Salicylic Acid, Cocamidopropyl Betaine, PEG-60 Hydrogenated Castor Oil, Fragrance, Sodium Chloride, Melaleuca Alternigolia (Tea Tree) Leaf Oil, Caprylyl Glycol, Ethylhexylglycerin, Salix Alba (Willow) Bark Water, Saccharomyces Ferment, Cryptomeria Japonica Leaf Extract, Nelumbo Nucifera Leaf Extract, Pinus Palustris Leaf Extract, Ulmus Davidiana Root Extract, Oenothera Biennis (Evening Primrose) Flower Extract, Pueraria Lobata Root Extract, 1,2-Hexanediol, Ethyl Hexanediol, Citric Acid, Disodium EDTA","Dry, Oily, Combination, Normal","Oily, Sensitive, Dead, Sebum",0
8809469775137,https://m.media-amazon.com/images/I/4180SCWhKWL.jpg,Farmstay - Green Tea Seed Premium Moisture Foam Cleansing 100ml,Cleansing,Farmstay,7.00,,,,0
8809532221356,https://tse1.mm.bing.net/th?id=OIP.TCpRX4jdnploV1GaaikwNwHaHa&pid=Api,Haruharu Wonder - Black Rice Moisture 5.5 Soft Cleansing Gel 100Ml,Cleansing,Haruharu Wonder,10.00,"Water, Glycerin, Coco-Betaine, Propanediol, Pentylene Glycol, Sodium Chloride, 1,2-Hexanediol, Xanthan Gum, Hydroxyethylcellulose, Potassium Cocoyl Glycinate, Potassium Cocoate, Oryza Sativa (Rice) Extract, Phyllostachys Pubescens Shoot Bark Extract, Panax Ginseng Root Extract, Aspergillus Ferment Extract Filtrate, Beta-Glucan, Butylene Glycol, Trehalose, Citric Acid, Cyclodextrin, Zanthoxylum Piperitum Fruit Extract, Pulsatilla Koreana Extract, Usnea Barbata (Lichen) Extract, Ethylhexylglycerin",,,0
8809481761996,https://ohlolly.com/cdn/shop/products/Ohlolly_Heimish_AllCleanBalm_Mandarin_2.jpg?v=1665163465,Heimish - All Clean Balm Mandarin 120Ml,Cleansing,Heimish,13.00,,,,0
